Stationsnamn,Markering,FilID,Beräkningsklass,SW99_X,SW99_Y,SW99_Z
Abisko,ABIS.0,0ABI,Definitiv,2233558.0146,761080.1000,5906185.7590
Albacken,ALBA.0,0ALE,Definitiv,2811734.0650,806979.0403,5649068.8622
Alfta,ALFT.0,0ALF,Definitiv,2946813.4799,848598.1370,5573978.3627
Alingsås,ALIN.0,0ALI,Definitiv,3313951.7359,736374.0516,5381673.3246
Almunge,ALMU.0,0ALM,Definitiv,3051687.1995,995723.5062,5493062.7877
Alsterbro,ALST.0,0ALS,Definitiv,3353530.5896,955732.3756,5322792.2452
Alvik,AVIK.0,0AVI,Definitiv,2458322.3827,983486.7937,5783174.0027
Ambjörby,AMBJ.0,0AMB,Definitiv,3065282.1664,716200.0456,5528849.2817
Ammarnäs,AMMA.0,0AMM,Definitiv,2502400.7698,727285.0578,5802471.8801
Aneby,ANEB.1,1ANE,Definitiv,3290693.0584,870337.5157,5376156.7416
Arboga,ARBO.0,0ARB,Definitiv,3131612.1844,888197.6050,5466620.6000
Ardala,ARDA.0,0ARD,Definitiv,3263534.2667,773681.1118,5407045.4478
Arholma,ARHO.2,2ARH,Definitiv,3033345.4925,1051898.6610,5492740.8035
Arjeplog,ARJE.0,0ARJ,Definitiv,2441775.4353,799268.0400,5818729.1655
Arjeplog-C,ARJT.0,0ART,Definitiv,2471781.2646,795582.5218,5806614.7830
Arjeplog-Mast,ARJE.6,6ARJ,Definitiv,2441772.8378,799272.2184,5818730.2519
Arkö,ARKO.1,1ARK,Definitiv,3196907.9389,975114.5146,5414101.0773
Arvidsjaur,ARVI.0,0ARV,Definitiv,2496440.8461,868007.3312,5785744.9958
Arvika,ARVK.0,0ARA,Definitiv,3152191.3207,704597.7851,5481517.5259
AstaZero1,AZ1_.0,0AZ1,Definitiv,3325126.4878,754219.1991,5372519.4048
AstaZero3,AZ3_.0,0AZ3,Definitiv,3324508.4079,753508.5807,5372985.9440
AstaZero4,AZ4_.0,0AZ4,Definitiv,3324034.1875,753245.7337,5373313.0795
Attarp,ATTA.0,0ATT,Definitiv,3298730.0796,829944.7032,5377487.9841
Bagaregården,BAGA.1,1BAG,Definitiv,3339599.6517,710996.0506,5369302.3373
Bastuträsk,BAST.0,0BAS,Definitiv,2559131.2414,933302.6225,5748152.6777
Bengtsfors,BEFO.0,0BEF,Definitiv,3214294.1834,696618.2593,5446644.0795
